feature,feature_label,threshold,system_id,uid,date,feature_value,dist_to_thr,v3_classification,n_samples
terminal_speed_min,speed < 0.5 (landing),0.5,900,1083539,2026-04-14,0.5004,0.0004,False,119
terminal_speed_min,speed < 0.5 (landing),0.5,900,2324081,2026-05-09,0.4996,0.0004,False,314
terminal_speed_min,speed < 0.5 (landing),0.5,900,2212437,2026-05-06,0.5004,0.0004,False,157
terminal_speed_min,speed < 0.5 (landing),0.5,900,1576035,2026-04-24,0.5004,0.0004,False,139
terminal_speed_min,speed < 0.5 (landing),0.5,900,1808482,2026-04-29,0.4994,0.0006,False,111
terminal_speed_min,speed < 0.5 (landing),0.5,900,1946585,2026-05-01,0.4994,0.0006,False,210
terminal_speed_min,speed < 0.5 (landing),0.5,900,2246951,2026-05-07,0.5006,0.0006,False,117
terminal_speed_min,speed < 0.5 (landing),0.5,900,2410239,2026-05-11,0.4994,0.0006,False,111
terminal_speed_min,speed < 0.5 (landing),0.5,939,2043305,2026-05-02,0.5,0.0,False,180
terminal_speed_min,speed < 0.5 (landing),0.5,939,1693136,2026-04-26,0.5,0.0,False,111
terminal_speed_min,speed < 0.5 (landing),0.5,939,2314726,2026-05-08,0.5,0.0,False,395
terminal_speed_min,speed < 0.5 (landing),0.5,939,1689595,2026-04-26,0.5,0.0,False,177
terminal_speed_min,speed < 0.5 (landing),0.5,939,2490769,2026-05-12,0.5,0.0,False,296
terminal_speed_min,speed < 0.5 (landing),0.5,939,2187693,2026-05-05,0.4999,0.0001,False,150
terminal_speed_min,speed < 0.5 (landing),0.5,939,1732179,2026-04-27,0.4998,0.0002,False,117
terminal_speed_min,speed < 0.5 (landing),0.5,939,2056326,2026-05-02,0.5002,0.0002,False,110
terminal_speed_min,speed < 0.5 (landing),0.5,939,1981880,2026-05-01,0.5003,0.0003,False,222
terminal_speed_min,speed < 0.5 (landing),0.5,939,2312409,2026-05-08,0.4997,0.0003,False,188
terminal_speed_min,speed < 0.5 (landing),0.5,939,2351204,2026-05-09,0.5006,0.0006,False,135
terminal_speed_min,speed < 0.5 (landing),0.5,939,2040433,2026-05-02,0.5007,0.0007,False,141
terminal_speed_min,speed < 0.5 (landing),0.5,939,2431536,2026-05-11,0.5007,0.0007,False,145
terminal_speed_min,speed < 0.5 (landing),0.5,939,2361631,2026-05-09,0.5009,0.0009,False,126
terminal_speed_min,speed < 0.5 (landing),0.5,939,1926452,2026-04-30,0.4991,0.0009,False,233
terminal_speed_min,speed < 0.5 (landing),0.5,939,1913967,2026-04-30,0.499,0.001,False,154
terminal_speed_min,speed < 0.5 (landing),0.5,939,1729238,2026-04-27,0.499,0.001,False,118
terminal_speed_min,speed < 0.5 (landing),0.5,939,2280971,2026-05-07,0.5011,0.0011,False,394
terminal_speed_min,speed < 0.5 (landing),0.5,939,2490453,2026-05-12,0.4988,0.0012,False,110
terminal_speed_min,speed < 0.5 (landing),0.5,939,1524822,2026-04-22,0.4988,0.0012,False,124
start_dist,start ≤ 0.30 m,0.3,900,1298266,2026-04-18,0.3,0.0,False,265
start_dist,start ≤ 0.30 m,0.3,900,2282400,2026-05-08,0.3,0.0,False,231
start_dist,start ≤ 0.30 m,0.3,900,2288872,2026-05-08,0.2999,0.0001,False,261
start_dist,start ≤ 0.30 m,0.3,900,1426003,2026-04-21,0.2999,0.0001,True,141
start_dist,start ≤ 0.30 m,0.3,900,2283650,2026-05-08,0.3001,0.0001,False,163
start_dist,start ≤ 0.30 m,0.3,900,1538013,2026-04-23,0.2999,0.0001,True,657
start_dist,start ≤ 0.30 m,0.3,900,2070480,2026-05-03,0.3001,0.0001,False,260
start_dist,start ≤ 0.30 m,0.3,900,1487991,2026-04-22,0.2999,0.0001,False,126
start_dist,start ≤ 0.30 m,0.3,900,2323789,2026-05-09,0.3001,0.0001,False,222
start_dist,start ≤ 0.30 m,0.3,900,1080652,2026-04-14,0.3002,0.0002,False,147
start_dist,start ≤ 0.30 m,0.3,900,1326587,2026-04-19,0.2998,0.0002,False,208
start_dist,start ≤ 0.30 m,0.3,900,1950894,2026-05-01,0.3002,0.0002,False,326
start_dist,start ≤ 0.30 m,0.3,900,1381066,2026-04-20,0.2997,0.0003,False,145
start_dist,start ≤ 0.30 m,0.3,900,1381454,2026-04-20,0.2997,0.0003,False,226
start_dist,start ≤ 0.30 m,0.3,900,1120319,2026-04-15,0.3004,0.0004,False,249
start_dist,start ≤ 0.30 m,0.3,900,1656085,2026-04-26,0.3004,0.0004,False,238
start_dist,start ≤ 0.30 m,0.3,900,1890097,2026-04-30,0.2996,0.0004,False,135
start_dist,start ≤ 0.30 m,0.3,900,2215712,2026-05-06,0.2995,0.0005,False,189
start_dist,start ≤ 0.30 m,0.3,900,2104814,2026-05-04,0.3005,0.0005,False,172
start_dist,start ≤ 0.30 m,0.3,900,2369200,2026-05-10,0.3005,0.0005,False,210
start_dist,start ≤ 0.30 m,0.3,939,2043610,2026-05-02,0.3002,0.0002,False,305
start_dist,start ≤ 0.30 m,0.3,939,2137454,2026-05-04,0.3002,0.0002,False,287
