start,activation_ins_buzz
302.4,-2.04
303.36,-1.52
304.32,-1.68
305.28,-2.04
306.24,-2.38
307.2,-1.79
308.16,-1.69
309.12,-2.11
310.08,-1.53
311.04,-1.53
312.0,-1.47
312.96,-1.83
313.92,-1.86
314.88,-1.91
315.84,-1.76
316.8,-1.81
317.76,-1.02
318.72,-1.55
319.68,-1.91
320.64,-1.83
321.6,-1.73
322.56,-1.56
323.52,-1.34
324.48,-1.79
325.44,-1.77
326.4,-1.35
327.36,-1.71
328.32,-2.24
329.28,-1.29
330.24,-1.3
331.2,-1.84
332.16,-1.79
333.12,-1.52
334.08,-1.49
335.04,-1.43
336.0,-1.36
336.96,-1.49
337.92,-1.84
338.88,-1.37
339.84,-1.36
340.8,-1.31
341.76,-1.55
342.72,-1.65
343.68,-1.39
344.64,-1.5
345.6,-1.41
346.56,-1.23
347.52,-1.43
348.48,-1.42
349.44,-1.54
350.4,-1.62
351.36,-1.52
352.32,-2.66
353.28,-1.53
354.24,-1.06
355.2,-1.6
356.16,-1.49
357.12,-1.25
358.08,-1.58
359.04,-1.57
360.0,-1.7
360.96,-1.3
361.92,-1.47
362.88,-1.76
363.84,-1.29
364.8,-1.43
365.76,-1.69
366.72,-1.92
367.68,-1.5
368.64,-1.18
369.6,-1.48
370.56,-1.17
371.52,-1.29
372.48,-1.53
373.44,-1.68
374.4,-1.52
375.36,-1.71
376.32,-1.88
377.28,-1.82
378.24,-1.63
379.2,-1.47
380.16,-1.73
381.12,-1.48
382.08,-1.28
383.04,-1.72
384.0,-1.42
384.96,-1.41
385.92,-1.56
386.88,-1.36
387.84,-1.23
388.8,-0.82
389.76,-1.67
390.72,-1.8
391.68,-1.47
392.64,-1.37
393.6,-1.67
394.56,-2.0
395.52,-1.52
396.48,-1.55
397.44,-2.19
398.4,-1.26
399.36,-1.88
400.32,-1.64
401.28,-1.49
402.24,-1.16
403.2,-1.34
404.16,-1.19
405.12,-1.47
406.08,-1.29
407.04,-1.33
408.0,-1.29
408.96,-1.34
409.92,-1.59
410.88,-1.57
411.84,-1.54
412.8,-1.39
413.76,-1.09
414.72,-1.34
415.68,-1.76
416.64,-1.63
417.6,-1.9
418.56,-1.72
419.52,-1.61
420.48,-1.15
421.44,-1.38
422.4,-1.48
423.36,-1.49
424.32,-1.17
425.28,-2.27
426.24,-1.54
427.2,-1.89
428.16,-1.83
429.12,-1.77
430.08,-1.25
431.04,-1.61
432.0,-1.9
432.96,-2.11
433.92,-1.39
434.88,-1.42
435.84,-1.15
436.8,-1.49
437.76,-1.61
438.72,-1.43
439.68,-1.57
440.64,-1.35
441.6,-2.05
442.56,-2.59
443.52,-1.62
444.48,-1.28
445.44,-1.49
446.4,-1.48
447.36,-1.34
448.32,-0.99
449.28,-1.41
450.24,-1.76
451.2,-1.47
452.16,-2.15
453.12,-1.34
454.08,-1.38
455.04,-1.81
456.0,-1.65
456.96,-1.81
457.92,-1.58
458.88,-1.53
459.84,-1.62
460.8,-1.63
461.76,-1.6
462.72,-1.54
463.68,-1.52
464.64,-1.49
465.6,-1.37
466.56,-1.36
467.52,-1.29
468.48,-1.39
469.44,-1.73
470.4,-1.83
471.36,-1.55
472.32,-1.36
473.28,-1.31
474.24,-1.59
475.2,-1.35
476.16,-1.44
477.12,-1.84
478.08,-1.51
479.04,-1.7
480.0,-1.94
480.96,-1.99
481.92,-1.8
482.88,-1.68
483.84,-1.96
484.8,-1.19
485.76,-1.4
486.72,-1.61
487.68,-2.24
488.64,-1.39
489.6,-1.73
490.56,-1.79
491.52,-1.63
492.48,-1.33
493.44,-1.55
494.4,-1.41
495.36,-1.31
496.32,-1.85
497.28,-1.66
498.24,-1.82
499.2,-1.39
500.16,-1.81
501.12,-1.62
502.08,-2.14
503.04,-2.11
504.0,-1.45
504.96,-2.47
505.92,-1.8
506.88,-1.64
507.84,-1.52
508.8,-2.11
509.76,-2.36
510.72,-1.73
511.68,-1.99
512.64,-1.65
513.6,-2.48
514.56,-1.55
515.52,-3.06
516.48,-1.93
517.44,-1.62
518.4,-1.64
519.36,-1.79
520.32,-1.45
521.28,-1.42
522.24,-1.48
523.2,-1.26
524.16,-1.46
525.12,-1.78
526.08,-2.23
527.04,-2.12
528.0,-1.86
528.96,-1.89
529.92,-2.57
530.88,-2.13
531.84,-1.5
532.8,-1.54
