start,activation_ins_buzz
0.0,-2.1
0.96,-2.05
1.92,-1.88
2.88,-1.05
3.84,-1.4
4.8,-1.69
5.76,-2.42
6.72,-2.78
7.68,-1.49
8.64,-1.77
9.6,-1.76
10.56,-1.77
11.52,-1.71
12.48,-1.85
13.44,-1.94
14.4,-2.23
15.36,-1.89
16.32,-1.27
17.28,-1.89
18.24,-1.68
19.2,-1.69
20.16,-2.09
21.12,-1.65
22.08,-1.4
23.04,-1.46
24.0,-1.63
24.96,-1.66
25.92,-2.14
26.88,-1.74
27.84,-1.41
28.8,-1.88
29.76,-1.49
30.72,-2.53
31.68,-1.92
32.64,-1.83
33.6,-1.71
34.56,-2.05
35.52,-1.55
36.48,-1.99
37.44,-2.44
38.4,-1.95
39.36,-2.03
40.32,-1.63
41.28,-1.55
42.24,-1.62
43.2,-1.81
44.16,-2.26
45.12,-1.96
46.08,-2.25
47.04,-2.05
48.0,-2.4
48.96,-1.78
49.92,-2.24
50.88,-2.12
51.84,-1.51
52.8,-1.63
53.76,-1.76
54.72,-1.57
55.68,-1.62
56.64,-1.5
57.6,-1.59
58.56,-1.92
59.52,-1.98
60.48,-1.58
61.44,-1.26
62.4,-1.57
63.36,-1.59
64.32,-1.62
65.28,-1.76
66.24,-1.62
67.2,-1.42
68.16,-2.1
69.12,-1.74
70.08,-1.44
71.04,-1.45
72.0,-1.31
72.96,-1.47
73.92,-1.87
74.88,-1.71
75.84,-1.27
76.8,-1.78
77.76,-1.3
78.72,-1.29
79.68,-1.33
80.64,-1.36
81.6,-1.43
82.56,-1.66
83.52,-2.66
84.48,-1.88
85.44,-1.73
86.4,-2.4
87.36,-1.45
88.32,-1.24
89.28,-1.63
90.24,-1.8
91.2,-1.67
92.16,-1.84
93.12,-1.92
94.08,-1.75
95.04,-1.7
96.0,-1.53
96.96,-1.16
97.92,-1.28
98.88,-1.88
99.84,-1.62
100.8,-1.4
101.76,-1.68
102.72,-1.38
103.68,-1.59
104.64,-1.46
105.6,-2.6
106.56,-1.42
107.52,-2.18
108.48,-1.4
109.44,-1.46
110.4,-1.2
111.36,-1.75
112.32,-2.3
113.28,-1.47
114.24,-1.69
115.2,-1.54
116.16,-1.24
117.12,-1.99
118.08,-1.53
119.04,-1.35
120.0,-1.87
120.96,-2.12
121.92,-1.81
122.88,-1.63
123.84,-2.31
124.8,-1.94
125.76,-1.38
126.72,-1.52
127.68,-1.08
128.64,-1.25
129.6,-1.3
130.56,-1.41
131.52,-1.58
132.48,-1.73
133.44,-1.44
134.4,-1.81
135.36,-1.71
136.32,-2.74
137.28,-1.63
138.24,-1.53
139.2,-1.74
140.16,-1.62
141.12,-1.42
142.08,-2.74
143.04,-1.7
144.0,-1.51
144.96,-1.82
145.92,-1.49
146.88,-1.71
147.84,-1.8
148.8,-1.31
149.76,-1.22
150.72,-1.53
151.68,-1.01
152.64,-1.51
153.6,-1.14
154.56,-1.71
155.52,-1.91
156.48,-1.78
157.44,-2.13
158.4,-1.85
159.36,-1.74
160.32,-2.0
161.28,-1.37
162.24,-1.86
163.2,-1.46
164.16,-1.24
165.12,-1.78
166.08,-1.36
167.04,-1.75
168.0,-1.48
168.96,-1.84
169.92,-1.99
170.88,-1.67
171.84,-1.47
172.8,-1.41
173.76,-1.78
174.72,-1.41
175.68,-1.98
176.64,-1.33
177.6,-1.61
178.56,-1.54
179.52,-1.93
180.48,-1.56
181.44,-1.75
182.4,-1.33
183.36,-1.59
184.32,-1.48
185.28,-2.09
186.24,-1.41
187.2,-1.63
188.16,-1.21
189.12,-1.58
190.08,-1.58
191.04,-1.83
192.0,-1.74
192.96,-1.9
193.92,-1.56
194.88,-1.64
195.84,-1.48
196.8,-1.35
197.76,-1.72
198.72,-1.85
199.68,-2.42
200.64,-1.45
201.6,-1.91
202.56,-1.44
203.52,-1.33
204.48,-1.49
205.44,-1.27
206.4,-2.08
207.36,-2.09
208.32,-1.78
209.28,-1.8
210.24,-1.35
211.2,-1.46
212.16,-1.6
213.12,-1.35
214.08,-1.53
215.04,-1.36
216.0,-1.73
216.96,-1.42
217.92,-1.51
218.88,-1.83
219.84,-1.42
220.8,-1.63
221.76,-1.4
222.72,-1.61
223.68,-1.61
224.64,-1.45
225.6,-2.3
226.56,-2.39
227.52,-1.28
228.48,-1.29
229.44,-1.18
230.4,-1.28
231.36,-1.24
232.32,-1.27
233.28,-1.44
234.24,-1.48
235.2,-1.6
236.16,-1.36
237.12,-1.57
238.08,-1.4
239.04,-1.58
240.0,-1.95
240.96,-1.14
241.92,-1.55
242.88,-1.44
243.84,-1.23
244.8,-1.24
245.76,-1.18
246.72,-1.07
247.68,-1.18
248.64,-2.12
249.6,-1.11
250.56,-2.03
251.52,-1.68
252.48,-1.6
253.44,-1.52
254.4,-1.84
255.36,-1.67
256.32,-1.64
257.28,-1.58
258.24,-1.18
259.2,-1.74
260.16,-2.01
261.12,-1.53
262.08,-1.65
263.04,-2.88
264.0,-2.05
264.96,-2.37
265.92,-1.67
266.88,-1.71
267.84,-1.58
268.8,-1.31
269.76,-1.49
270.72,-2.8
271.68,-1.41
272.64,-1.4
273.6,-1.61
274.56,-1.55
275.52,-1.53
276.48,-1.47
277.44,-1.8
278.4,-1.75
279.36,-1.82
280.32,-1.51
281.28,-1.47
282.24,-1.65
283.2,-1.98
284.16,-1.75
285.12,-1.08
286.08,-1.59
287.04,-1.56
288.0,-1.13
288.96,-1.66
289.92,-1.33
290.88,-1.45
291.84,-1.72
292.8,-1.35
293.76,-1.7
294.72,-2.45
295.68,-1.92
296.64,-1.8
297.6,-1.6
298.56,-2.98
299.52,-1.94
300.48,-1.39
301.44,-1.83
