start,activation_ins_buzz
0.0,-1.43
0.96,-1.62
1.92,-1.68
2.88,-1.71
3.84,-2.18
4.8,-2.05
5.76,-1.87
6.72,-2.88
7.68,-2.17
8.64,-1.23
