date,system_id,uid,ts,n_samples,n_spike_frames,hive_exit_v1,hive_return_v1,hive_exit_v3,hive_return_v3,initial_speed_min,start_dist,outward_cos,terminal_speed_min,end_dist,toward_cos,tortuosity
2026-05-14,939,2556018,2026-05-14 09:33:17,151,0,False,False,False,False,0.2937142916339029,0.6009577608644573,0.5196569686724982,0.208358485788315,0.8155698439722988,-0.9501685926674402,2.716174613908189
2026-05-14,939,2556022,2026-05-14 09:33:23,214,13,False,False,False,False,0.5232561580870382,0.8610986160688373,0.03612751654148695,0.595043269435093,2.336312819166132,-0.9626462198195359,2.636012052113328
2026-05-14,939,2556039,2026-05-14 10:07:44,196,1,False,False,False,False,0.40945969581875563,1.5450358434461424,0.23931494335251938,0.3797905804519207,2.118618644164164,-0.9996599852496211,3.9028377679889674
2026-05-14,939,2556040,2026-05-14 10:10:03,159,1,False,False,False,False,1.1162855527911522,1.7203586635007972,0.3978278940326624,0.030017245043481838,2.0202741682751877,0.5723387507630117,3.652380670919113
2026-05-14,939,2556050,2026-05-14 10:15:12,118,0,False,False,False,False,0.39631054496190293,0.7554393486206848,-0.8514984806658746,0.31320902321772104,0.874536977972344,-0.7889903711262187,1.8153577646233605
2026-05-14,939,2556058,2026-05-14 10:19:50,175,0,False,False,False,False,0.49823655967923397,1.1703035108702453,0.2945316740010865,0.22319727820921884,1.5400495562156433,-0.8414385880268028,1.6750498596107637
2026-05-14,939,2556095,2026-05-14 10:35:29,182,0,False,False,False,False,0.20622753304166383,0.11430634164230796,-0.15355786634922777,0.31815061987209725,1.2516556924981406,-0.9572367727099905,1.7610593048062677
2026-05-14,939,2556098,2026-05-14 10:35:43,128,0,False,False,False,False,0.4205601747966636,1.203084756690299,-0.9293466138340155,0.23980905795027765,1.231261010237472,-0.9324286467570939,1.8287023337488038
2026-05-14,939,2556118,2026-05-14 10:36:21,421,0,True,False,True,False,0.006180500950555516,0.056328740441960595,0.03876370224124334,0.12952955463909094,0.3863143540900337,-0.93491943889977,5.40056531189075
2026-05-14,939,2556121,2026-05-14 10:36:28,137,21,False,False,False,False,0.22488382800904136,0.40929125948277956,0.14665977777297515,6.000041620594787,4.40918866184545,-0.9904144959539849,1.774461659607589
2026-05-14,939,2556122,2026-05-14 10:36:29,134,0,False,False,False,False,0.38478962028749825,0.6460847950361384,0.942769922705931,0.23617604794940222,1.239165633546218,-0.8267460149888549,2.5359967272764243
2026-05-14,939,2556137,2026-05-14 10:38:24,151,0,False,False,False,False,0.3528527666662086,0.2738492084479258,-0.9156911521351647,0.36744236394977536,0.6892623821513836,-0.9720830054149313,3.7688284126802283
2026-05-14,939,2556144,2026-05-14 10:38:29,133,0,False,False,False,False,0.26682303320740497,0.7657077148031094,-0.9849251692224691,0.13152587806207616,1.1107556090913968,-0.9824305553604807,3.8149842964652576
2026-05-14,939,2556145,2026-05-14 10:38:29,147,0,False,False,False,False,0.5592004598978818,0.6337860212873286,-0.851843935634233,0.16641314851869418,0.6388318547963071,-0.8402959733983972,2.138389990980338
2026-05-14,939,2556148,2026-05-14 10:38:44,203,2,False,False,False,False,0.8411545369758096,0.9569026644666285,-0.7151819743143584,0.6675362518245712,0.8028769019619384,-0.8104572969918518,2.2574430968622816
2026-05-14,939,2556149,2026-05-14 10:38:46,139,0,False,False,False,False,1.0357208438561,0.5145994259609442,0.40009750307627034,0.27709329317940373,2.1213939413187735,-0.5419872782024459,1.7288478489135293
2026-05-14,939,2556155,2026-05-14 10:39:23,192,16,False,False,False,False,0.23683879672048908,0.9537368180609365,0.6931436354522993,0.47503941473208117,0.9901154155361335,0.9255786044775006,27.057956005777275
2026-05-14,939,2556161,2026-05-14 10:39:33,112,1,False,False,False,False,0.335420320815534,2.1857425848200878,-0.8793892663748912,0.5251139542042264,2.0148252293084874,-0.8990678717251382,1.785483498342052
2026-05-14,939,2556164,2026-05-14 10:39:38,163,22,False,False,False,False,0.5373735642372023,1.0545387915574507,-0.4711012508249954,5.235578948813468,5.439601161899927,-0.9967857795818751,1.453733722288205
